"","Treatment","Sex","Tissue","sample","lib.size"
"ctrlRNAi_F.BRN_S13","ctr","F","BRN","S13",9315408
"ctrlRNAi_F.BRN_S14","ctr","F","BRN","S14",15622406
"ctrlRNAi_F.BRN_S15","ctr","F","BRN","S15",10385722
"ctrlRNAi_F.BRN_S16","ctr","F","BRN","S16",12022532
"ctrlRNAi_F.BRN_S17","ctr","F","BRN","S17",10439212
"ctrlRNAi_F.BRN_S18","ctr","F","BRN","S18",10909008
"dsxRNAi_F.BRN_S1","dsx","F","BRN","S1",11987284
"dsxRNAi_F.BRN_S2","dsx","F","BRN","S2",13156881
"dsxRNAi_F.BRN_S3","dsx","F","BRN","S3",12235536
"dsxRNAi_F.BRN_S4","dsx","F","BRN","S4",11636184
"dsxRNAi_F.BRN_S5","dsx","F","BRN","S5",10427079
"dsxRNAi_F.BRN_S6","dsx","F","BRN","S6",9612226
"ctrlRNAi_M.BRN_S19","ctr","M","BRN","S19",10748437
"ctrlRNAi_M.BRN_S20","ctr","M","BRN","S20",10129825
"ctrlRNAi_M.BRN_S21","ctr","M","BRN","S21",10571624
"ctrlRNAi_M.BRN_S22","ctr","M","BRN","S22",10899420
"ctrlRNAi_M.BRN_S23","ctr","M","BRN","S23",10275664
"ctrlRNAi_M.BRN_S24","ctr","M","BRN","S24",10281103
"dsxRNAi_M.BRN_S7","dsx","M","BRN","S7",8296154
"dsxRNAi_M.BRN_S8","dsx","M","BRN","S8",10203647
"dsxRNAi_M.BRN_S9","dsx","M","BRN","S9",15683586
"dsxRNAi_M.BRN_S10","dsx","M","BRN","S10",17362899
"dsxRNAi_M.BRN_S11","dsx","M","BRN","S11",18142749
"dsxRNAi_M.BRN_S12","dsx","M","BRN","S12",9585558
"ctrlRNAi_F.CHE_S61","ctr","F","CHE","S61",8929451
"ctrlRNAi_F.CHE_S62","ctr","F","CHE","S62",10551808
"ctrlRNAi_F.CHE_S63","ctr","F","CHE","S63",8368967
"ctrlRNAi_F.CHE_S64","ctr","F","CHE","S64",16791944
"ctrlRNAi_F.CHE_S65","ctr","F","CHE","S65",12146736
"ctrlRNAi_F.CHE_S66","ctr","F","CHE","S66",9035048
"dsxRNAi_F.CHE_S49","dsx","F","CHE","S49",9894635
"dsxRNAi_F.CHE_S50","dsx","F","CHE","S50",11235570
"dsxRNAi_F.CHE_S51","dsx","F","CHE","S51",15650295
"dsxRNAi_F.CHE_S52","dsx","F","CHE","S52",15156034
"dsxRNAi_F.CHE_S53","dsx","F","CHE","S53",11178802
"dsxRNAi_F.CHE_S54","dsx","F","CHE","S54",11356280
"ctrlRNAi_M.CHE_S67","ctr","M","CHE","S67",10063065
"ctrlRNAi_M.CHE_S68","ctr","M","CHE","S68",10213914
"ctrlRNAi_M.CHE_S69","ctr","M","CHE","S69",14606729
"ctrlRNAi_M.CHE_S70","ctr","M","CHE","S70",10461943
"ctrlRNAi_M.CHE_S71","ctr","M","CHE","S71",15317489
"ctrlRNAi_M.CHE_S72","ctr","M","CHE","S72",13292199
"dsxRNAi_M.CHE_S55","dsx","M","CHE","S55",10413026
"dsxRNAi_M.CHE_S56","dsx","M","CHE","S56",12566703
"dsxRNAi_M.CHE_S57","dsx","M","CHE","S57",10097661
"dsxRNAi_M.CHE_S58","dsx","M","CHE","S58",10927269
"dsxRNAi_M.CHE_S59","dsx","M","CHE","S59",17518703
"dsxRNAi_M.CHE_S60","dsx","M","CHE","S60",16507341
"ctrlRNAi_F.THE_S37","ctr","F","THE","S37",10034382
"ctrlRNAi_F.THE_S38","ctr","F","THE","S38",11053346
"ctrlRNAi_F.THE_S39","ctr","F","THE","S39",16564630
"ctrlRNAi_F.THE_S40","ctr","F","THE","S40",15348902
"ctrlRNAi_F.THE_S41","ctr","F","THE","S41",16500441
"ctrlRNAi_F.THE_S42","ctr","F","THE","S42",10021575
"dsxRNAi_F.THE_S25","dsx","F","THE","S25",9660740
"dsxRNAi_F.THE_S26","dsx","F","THE","S26",9868752
"dsxRNAi_F.THE_S27","dsx","F","THE","S27",10629020
"dsxRNAi_F.THE_S28","dsx","F","THE","S28",10980740
"dsxRNAi_F.THE_S29","dsx","F","THE","S29",16983920
"dsxRNAi_F.THE_S30","dsx","F","THE","S30",9394204
"ctrlRNAi_M.THE_S43","ctr","M","THE","S43",10175292
"ctrlRNAi_M.THE_S44","ctr","M","THE","S44",4640668
"ctrlRNAi_M.THE_S45","ctr","M","THE","S45",10431983
"ctrlRNAi_M.THE_S46","ctr","M","THE","S46",10239974
"ctrlRNAi_M.THE_S47","ctr","M","THE","S47",10954425
"ctrlRNAi_M.THE_S48","ctr","M","THE","S48",9431346
"dsxRNAi_M.THE_S31","dsx","M","THE","S31",8455105
"dsxRNAi_M.THE_S32","dsx","M","THE","S32",19068106
"dsxRNAi_M.THE_S33","dsx","M","THE","S33",7977514
"dsxRNAi_M.THE_S34","dsx","M","THE","S34",10645423
"dsxRNAi_M.THE_S35","dsx","M","THE","S35",22083242
"dsxRNAi_M.THE_S36","dsx","M","THE","S36",10658903
"ctrlRNAi_F.GEN_S85","ctr","F","GEN","S85",7885803
"ctrlRNAi_F.GEN_S86","ctr","F","GEN","S86",11873508
"ctrlRNAi_F.GEN_S87","ctr","F","GEN","S87",10484523
"ctrlRNAi_F.GEN_S88","ctr","F","GEN","S88",14911736
"ctrlRNAi_F.GEN_S89","ctr","F","GEN","S89",7723093
"ctrlRNAi_F.GEN_S90","ctr","F","GEN","S90",15888679
"dsxRNAi_F.GEN_S73","dsx","F","GEN","S73",9421937
"dsxRNAi_F.GEN_S74","dsx","F","GEN","S74",15651788
"dsxRNAi_F.GEN_S75","dsx","F","GEN","S75",10284424
"dsxRNAi_F.GEN_S76","dsx","F","GEN","S76",12360122
"dsxRNAi_F.GEN_S77","dsx","F","GEN","S77",15225638
"dsxRNAi_F.GEN_S78","dsx","F","GEN","S78",11903430
"ctrlRNAi_M.GEN_S91","ctr","M","GEN","S91",17698786
"ctrlRNAi_M.GEN_S92","ctr","M","GEN","S92",9542977
"ctrlRNAi_M.GEN_S93","ctr","M","GEN","S93",14716907
"ctrlRNAi_M.GEN_S94","ctr","M","GEN","S94",14540362
"ctrlRNAi_M.GEN_S95","ctr","M","GEN","S95",12122881
"ctrlRNAi_M.GEN_S96","ctr","M","GEN","S96",8313181
"dsxRNAi_M.GEN_S79","dsx","M","GEN","S79",10579813
"dsxRNAi_M.GEN_S80","dsx","M","GEN","S80",9506544
"dsxRNAi_M.GEN_S81","dsx","M","GEN","S81",11845750
"dsxRNAi_M.GEN_S82","dsx","M","GEN","S82",19944484
"dsxRNAi_M.GEN_S83","dsx","M","GEN","S83",12503191
"dsxRNAi_M.GEN_S84","dsx","M","GEN","S84",14700428
